Person 1,Person 2,Person 3,Subject,Endorsement,Ep Title,Description,Pod Title,Participant,Chip,Link,Length (minutes),Comment,Traditional News Broadcast?,Not on YouTube?,Delete?
Nik,Michael,Owen Fick,Vivek Ramaswamy,T,How to Win Like Nixon: Leadership Lessons with Vivek Ramaswamy,"Join Johnny Burtka and Vivek Ramaswamy they discuss Richard Nixon's presidency, the importance of pragmatism and realism in politics, and how good leaders need independent vision and a readiness to challenge the status quo. Daring Greatly is the newest video series from the Intercollegiate Studies Institute. Over the course of this series, join ISI President Johnny Burtka as he explores key leadership characteristics throughout history, from ancient times to the present. LIKE AND SUBSCRIBE for the newest episodes of Daring Greatly: www.youtube.com/@EducatingForLiberty Join the ISI family to stay up to date on the latest in conservative thought: https://isi.org/",Daring Greatly with Johnny Burtka,,How to Win Like Nixon: Leadership Lessons with Vivek Ramaswamy,https://www.youtube.com/watch?v=LBWmw_06qvM,39,,FALSE,FALSE,FALSE
Lena,Malia,Owen Fick,JD Vance,T,414 - Sen. JD Vance,"Tim sits down with Senator JD Vance (R-Ohio) about being on the White House ticket, car accidents, Kamala Harris, the Secret Service, his family, Trump and who actually is fun.",The Tim Dillon Show,,Sen. JD Vance | The Tim Dillon Show #414 - YouTube,https://www.youtube.com/watch?v=QPlqID3zv4k,90,Informal Podcast interview,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
Nik,Malia,Connor Swenson,Bernie Sanders,H,Bernie Sanders Thinks Trump Fever Has Broken,"On Tuesday afternoon, just hours after Vice President Harris announced that Tim Walz, governor of Minnesota, would be her running mate, Astead sat down with Senator Bernie Sanders in Burlington, Vt.Mr. Sanders, the Vermont progressive who has twice run for president himself, supported the choice of Mr. Walz.But a Harris-Walz ticket was not what he was envisioning for 2024. He was a staunch defender of President Biden remaining in the race, arguing that Mr. Biden was best positioned to defeat former president Donald Trump.Now, since Mr. Biden bowed out and Ms. Harris has stepped in, Mr. Sanders has raised questions about what the Harris campaign’s economic message will be and how she will position herself.More recently though, Mr. Sanders has been on the campaign trail for Ms. Harris.His journey is indicative of a larger question facing the progressive wing of the Democratic Party — a question we explore today.With this new Democratic ticket, are progressives all in for Harris?On today’s episode: Senator Bernie Sanders, independent of Vermont
Unlock full access to New York Times podcasts and explore everything from politics to pop culture. Subscribe today at nytimes.com/podcasts or on Apple Podcasts and Spotify.",The Run-Up,,Bernie Sanders Thinks Trump Fever Has Broken - YouTube,https://www.youtube.com/watch?v=9x8zSQVkVmc,36,,FALSE,FALSE,FALSE
Lena,Michael,Thomas Leonard,JD Vance,T,JD Vance | All-In Summit 2024,"(0:00) Announcement from Friedberg (0:18) Besties intro JD Vance! (3:33) America's innovation problem (5:04) Thoughts on Trump (8:53) Would JD Vance have certified the election in 2020? (12:02) Increasing government efficiency, shrinking the deficit, Vance's role as VP, thoughts on EOs (19:35) Political realignment: Dick Cheney endorses Kamala Harris, winners and losers of the last 30 years (23:58) Thoughts on Lina Khan clamping down on tech M&A and her impact on the startup ecosystem (25:55) Fixing the Southern Border (32:16) How to practically approach deportations, who's coming in through the Southern Border? (36:51) Relationship with China","All-In with Chamath, Jason, Sacks & Friedberg",,JD Vance | All-In Summit 2024 - YouTube,https://www.youtube.com/watch?v=eMxcM3ZcVmM,46,,FALSE,FALSE,FALSE
Thomas Seeger,rosie,Amber*,JD Vance,T,JD Vance: Message for Undecided Voters!,"JD Vance on the plan to fix what Kamala broke!

Featuring:
JD Vance
Senator | Ohio
2024 Vice Presidential Candidate

--
Video at Youtube: https://www.youtube.com/watch?v=DG_0uXRz7yw",Sean Spicer,,JD Vance: Message for Undecided Voters! - YouTube,https://www.youtube.com/watch?v=DG_0uXRz7yw,12,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
Lena,rosie,Amber*,Tim Walz,H,"""Governor Tim Walz""","This week: the incredible Governor Tim Walz, candidate for Vice President of the USA. We run the gamut with the Governor: from runs, cars, and maps to greased lightning and Maslow’s Hierarchy… and the withholding of a really good joke in really poor taste for the first time ever. We all do better when we all do better – get out and vote!
Subscribe to SiriusXM Podcasts+ to listen to new episodes of SmartLess ad-free and a whole week early. Start a free trial now on Apple Podcasts or by visiting siriusxm.com/podcastsplus.",SmartLess,,Governor Tim Walz | SmartLess - YouTube,https://www.youtube.com/watch?v=Z_I6a20x3jQ,52,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
Nik,Connor Swenson,Thomas Leonard,John Fetterman,H,John Fetterman Fears Trump Is Stronger Than Ever,"The senator discusses the “astonishing” support for the former president in Pennsylvania, his rift with progressives over Israel and his own position in the Democratic Party.",The Interview,,John Fetterman Fears Donald Trump is Stronger Than Ever,https://www.youtube.com/watch?v=s_ZRbQlBQ00,33,,FALSE,FALSE,FALSE
Lena,rosie,Amber,Bernie Sanders,H,#450 – Bernie Sanders Interview,"Bernie Sanders is a US Senator from Vermont and a two-time presidential candidate.
Thank you for listening ❤ Check out our sponsors: https://lexfridman.com/sponsors/ep450-sc
See below for timestamps, transcript, and to give feedback, submit questions, contact Lex, etc.

Transcript:
https://lexfridman.com/bernie-sanders-transcript

EPISODE LINKS:
Bernie's Website: https://berniesanders.com
Bernie's X: https://x.com/BernieSanders
Bernie's Instagram: https://instagram.com/berniesanders
Bernie's YouTube: https://youtube.com/@BernieSanders
Bernie's Facebook: https://facebook.com/berniesanders

OUTLINE:
(00:00) - Introduction
(08:51) - MLK Jr
(11:43) - Corruption in politics
(23:00) - Healthcare in US
(31:33) - 2016 election
(37:32) - Barack Obama
(43:26) - Capitalism
(51:35) - Response to attacks
(56:32) - AOC and progressive politics
(1:04:24) - Mortality
(1:06:30) - Hope for the future

PODCAST LINKS:
- Podcast Website: https://lexfridman.com/podcast
- Apple Podcasts: https://apple.co/2lwqZIr
- Spotify: https://spoti.fi/2nEwCF8
- Podcast Playlist: https://www.youtube.com/playlist?list=PLrAXtmErZgOdP_8GztsuKi9nrraNbKKp4
- Clips Channel: https://www.youtube.com/lexclips",Lex Fridman Podcast,,Bernie Sanders Interview | Lex Fridman Podcast #450 - YouTube,https://www.youtube.com/watch?v=MzkgWDCucNY,63,,FALSE,FALSE,FALSE
Thomas Seeger,Michael,Owen Fick,Bernie Sanders,H,Bernie Sanders on a Gaza Ceasefire,"The day after Bernie Sanders’ speech at the DNC, Hasan has some follow up questions for the Senator, like “What exactly did you mean by a ceasefire in Gaza?” and “What do I tell my friends who have given up on politics?” and “Do you ever feel like blowing your brains out?”",Hasan Minhaj Doesn't Know,,Bernie Sanders on a Gaza Ceasefire - YouTube,https://www.youtube.com/watch?v=_Bb04MsmzcI,27,,FALSE,FALSE,FALSE
Nik,Malia,Owen Fick,Vivek Ramaswamy,T,It’s Time for the Facts Liberals Can No Longer Deny | Vivek Ramaswamy,"Dave Rubin of ""The Rubin Report"" talks to Vivek Ramaswamy about the media's role in shaping public perception; how the media avoids positive visions, preferring sensationalism; how NPR’s CEO admitted that an obsession with truth can hinder bringing people together; how conservatives must stand for truth; why he emphasizes the importance of free speech and open debate in the pursuit of truth; how woke culture is influencing corporate boardrooms; the need for bold leadership to tackle America's greatest challenges; strategies to restore national pride and unity; addressing economic concerns and national debt; the role of the family unit in societal stability; and much more.",The Rubin Report,,It’s Time for the Facts Liberals Can No Longer Deny | Vivek Ramaswamy - YouTube,https://www.youtube.com/watch?v=CUuqyiikBWw,20,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nik,Rosie,Connor Swenson,JD Vance,T,NO SPIN INTERVIEW: JD Vance,"Bill talks with VP candidate JD Vance about the border, mass deportation, Ukraine, and more.
Learn more about your ad choices. Visit megaphone.fm/adchoices",Bill O’Reilly’s No Spin News and Analysis,,FULL No Spin Interview With JD Vance - YouTube,https://www.youtube.com/watch?v=f1ThWw8mbBc,20,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nik,Michael,Connor Swenson,Pete Buttigieg,H,"Building Chargers & Promoting Jobs with Pete Buttigieg, DOT Secretary","Max speaks with Secretary of the DOT, former South Bend Mayor, and 2020 Demoratic primary candidate Pete Buttigieg to talk EVs, jobs in the USA, and improving infrastructure with NEVI. Spoiler: his office doesn’t think every American needs to get an EV tomorrow, but he wants to set the US up for success in the global stage so that we don't fall behind.
Learn More About The American EV Jobs Alliance: https://evpolitics.org 
Subscribe To Us In Your Podcast App: https://audioboom.com/channels/5137915-directly-current-the-ev-politics-podcast",Directly Current: The EV Politics Podcast,,"Building Chargers & Promoting Jobs with Pete Buttigieg, DOT Secretary - YouTube",https://www.youtube.com/watch?v=11AJ-oTaG9s,20,,FALSE,FALSE,FALSE
Owen Fick,Malia,Connor Swenson,Pete Buttigieg,H,Kamala Harris Starts Hot (feat. Pete Buttigieg),"And she's off! Kamala Harris has clinched the majority of delegates, she's breaking fundraising records and driving voter registration, and she's out on the trail offering a clear contrast to Donald Trump and his dark vision for America. Tommy and guest host Ali Velshi dissect Harris's campaign rollout, the shifting dynamics of the race, and Benjamin Netanyahu's polarizing address to Congress. Then, Pete Buttigieg—a possible VP pick—joins the show to talk about Harris, JD Vance, and everything he'll be doing to help the ticket win in November. For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",Pod Save America,,"Kamala Harris Gets HUGE Surge Of Support + Pete Buttigieg Talks Trump, Vance and The Vice President",https://www.youtube.com/watch?v=XKRtlOJmd4s,11,"Total podcast 90 minutes, Pete in only 11 minutes starting at 41-53",FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Lena,Malia,Amber,Pete Buttigieg,H,What Pete Buttigieg Learned Playing JD Vance,"America has become increasingly polarized when it comes to trust. Voters who distrust the system — who see institutions as corrupt and are prone to conspiracy theories — have long existed on the far left and far right. But Donald Trump seems to have sparked a realignment, what the writer Matthew Yglesias calls “the crank realignment.” The G.O.P. is now the political home of the distrustful, and Robert F. Kennedy Jr.’s Trump endorsement was a clear sign of these changing times.In 2020, Pete Buttigieg wrote a book on trust in politics. And he’s been persistent in making the case — in speeches, on TV — for what he calls “a better kind of politics.” So I wanted to talk to him about his theory of politics. Why does he think so many Americans have lost trust in the government? What responsibility does the Democratic Party have here? And how does he believe trust can be restored?Note: I invited Buttigieg on the show in his personal capacity so we could discuss his thoughts on the election without violating the Hatch Act, which prohibits members of the government from campaigning in their official guise. This also means I wasn't able to ask Buttigieg many questions about his work as transportation secretary. But I think we still had a pretty fascinating conversation.",The Ezra Klein Show,,Pete Buttigieg on 2024 and the ‘Crank Realignment’ - YouTube,https://www.youtube.com/watch?v=8JDMKyTpXWc,58,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Thomas Seeger,Rosie,Owen Fick,Pete Buttigieg,H,Transportation Secretary Pete Buttigieg Talks Alaska-Hawaii Merger,"Secretary Buttigieg joins Surveillance to discuss the Alaska-Hawaii merger and stories around transportation and labor. He is joined by Bloomberg's Jonathan Ferro, Lisa Abramowicz, and Annmarie Hordern.See omnystudio.com/listener for privacy information.",Bloomberg Talks,,Transportation Secretary Pete Buttigieg Talks Alaska-Hawaii Merger | Bloomberg Talks - YouTube,https://www.youtube.com/watch?v=OeiMeYjTOOg,6,,FALSE,FALSE,FALSE
Nik,Michael,Owen Fick,Pete Buttigieg,H,US Transportation Secretary Pete Buttigieg Talks Port Strike Threat,US Transportation Secretary Pete Buttigieg discusses the impact that a possible dockworkers strike will have on US ports. Buttigieg spoke to Bloomberg's Joe Mathieu and Kailey Leinz.See omnystudio.com/listener for privacy information.,Bloomberg Talks,,US Transportation Secretary Pete Buttigieg Talks Port Strike Threat | Bloomberg Talks,https://www.youtube.com/watch?v=fV1hAe3O07w,12,,FALSE,FALSE,FALSE
Lena,Malia,Owen Fick,Pete Buttigieg,H,Pete Buttigieg deals NIGHTMARE blow to Trump,"INTERVIEW: Brian interviews Pete Buttigieg about Kamala's ascendant campaign, Trump's inability to fill up his rallies, and Democrats reclaiming patriotism.

Order my new book SHAMELESS: https://www.harpercollins.com/pages/shameless

Subscribe for more and follow me here:
YouTube (español): https://www.youtube.com/@briantylercohenespanol
Apple Podcasts: https://apple.co/36UvEHs
Spotify: https://open.spotify.com/show/0066rKCBIycIMI4os6Ec5V
Twitter: https://twitter.com/briantylercohen
Instagram: https://www.instagram.com/briantylercohen
Facebook: https://www.facebook.com/briantylercohen
Patreon: https://www.patreon.com/briantylercohen
Newsletter: https://www.briantylercohen.com/sign-up/
TikTok: https://www.tiktok.com/@briantylercohen

--
Support podtube.me continuity as a free service. Become a Patreon or make an one-time donation

--
Video at Youtube: https://www.youtube.com/watch?v=kkr01RSO3mw",Brian Tyler Cohen,,Pete Buttigieg deals NIGHTMARE blow to Trump - YouTube,https://www.youtube.com/watch?v=kkr01RSO3mw,10,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Lena,Michael,Owen Fick,Pete Buttigieg,H,Pete Buttigieg Wants to Make America Not Suck... Again?,"Hasan talks with Secretary of Transportation Pete Buttigieg about high-speed rail porn, Space X, and why a mile of subway costs ten times more than a Marvel movie. ",Hasan Minhaj Doesn't Know,,Pete Buttigieg Wants to Make America Not Suck... Again? - YouTube,https://www.youtube.com/watch?v=qFBWIBayvLY,30,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nik,Malia,Thomas Leonard,Vivek Ramaswamy,T,NO SPIN INTERVIEW: Vivek Ramaswamy,"Bill talks with former GOP presidential candidate Vivek Ramaswamy about the election and our culture. 
Learn more about your ad choices. Visit megaphone.fm/adchoices",Bill O’Reilly’s No Spin News and Analysis,,Former GOP Presidential Candidate Vivek Ramaswamy about the Election and Our Culture,https://youtu.be/onW5PRoVA0Q?feature=shared,11,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
Thomas Seeger,Michael,Owen Fick,Pete Buttigieg,H,Fed up Pete Buttigieg SMACKS DOWN Marjorie Taylor Greene,"INTERVIEW: Brian interviews Secretary of Transportation Pete Buttigieg about how to approach a Democratic Party split over Joe Biden, his response to certain Republicans like Marjorie Taylor Greene and JD Vance who tried to blame Democrats for Trump’s shooting, and his reaction to even Republicans trying to distance themselves from Project 2025.

LISTEN TO FULL PODCAST EPISODE HERE:
Apple Podcasts: https://apple.co/3yazsWX
Spotify: https://spoti.fi/4bO0ilD

Subscribe for more and follow me here:
YouTube (español): https://www.youtube.com/@briantylercohenespanol
Apple Podcasts: https://apple.co/36UvEHs
Spotify: https://open.spotify.com/show/0066rKCBIycIMI4os6Ec5V
Twitter: https://twitter.com/briantylercohen

--
Video at Youtube: https://www.youtube.com/watch?v=uab2TRgVOls",Brian Tyler Cohen,,Fed up Pete Buttigieg SMACKS DOWN Marjorie Taylor Greene - YouTube,https://www.youtube.com/watch?v=uab2TRgVOls,24,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Thomas Seeger,rosie,Connor Swenson,Pete Buttigieg,H,Pete Buttigieg Thinks the Trump Fever Could Break,The Democrat talks about the election vibe shift and what a Kamala Harris win would mean for both parties.,The Interview,,Pete Buttigieg Thinks the Trump Fever Could Break - YouTube,https://www.youtube.com/watch?v=PK87A_M9A0k,34,,FALSE,FALSE,FALSE
Nik,malia,Amber,Pete Buttigieg,H,🚨 Pete Buttigieg SHUTS DOWN Trump over hurricane lies,"INTERVIEW: Brian interviews Secretary Pete about Trump lying about the hurricane relief effort to help himself politically, how he and the rest of the administration solved the port strike, and the huge jobs report from this past week. 

For more from Brian Tyler Cohen:
Order my #1 NYT bestselling book SHAMELESS: https://www.harpercollins.com/pages/shameless
YouTube (español): https://www.youtube.com/@briantylercohenespanol
Apple Podcasts: https://apple.co/36UvEHs
Spotify: https://open.spotify.com/show/0066rKCBIycIMI4os6Ec5V
Twitter: https://twitter.com/briantylercohen
Instagram: https://www.instagram.com/briantylercohen
Facebook: https://www.facebook.com/briantylercohen
Newsletter: https://www.briantylercohen.com/sign-up/
TikTok: https://www.tiktok.com/@briantylercohen
Substack: https://plus.briantylercohen.com

--
Video at Youtube: https://www.youtube.com/watch?v=_pR1noeJ6s4",Brian Tyler Cohen,,🚨 Pete Buttigieg SHUTS DOWN Trump over hurricane lies - YouTube,https://www.youtube.com/watch?v=_pR1noeJ6s4,11,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nik,Rosie,Amber*,Pete Buttigieg,H,GLOVES OFF: Pete Buttigieg SMACKS DOWN Vance over military record attacks,"INTERVIEW: Brian interviews Pete Buttigieg about JD Vance's attacks against Tim Walz over his military service.

Order my new book SHAMELESS: https://www.harpercollins.com/pages/shameless

LISTEN TO FULL PODCAST EPISODE HERE:
Apple Podcasts: https://apple.co/3YYXcIP
Spotify: https://spoti.fi/3YHXS5a

Subscribe for more and follow me here:
YouTube (español): https://www.youtube.com/@briantylercohenespanol
Apple Podcasts: https://apple.co/36UvEHs
Spotify: https://open.spotify.com/show/0066rKCBIycIMI4os6Ec5V
Twitter: https://twitter.com/briantylercohen
Instagram: https://www.instagram.com/briantylercohen
Facebook: https://www.facebook.com/briantylercohen
Patreon: https://www.patreon.com/briantylercohen
Newsletter: https://www.briantylercohen.com/sign-up/
TikTok: https://www.tiktok.com/@briantylercohen

--
Video at Youtube: https://www.youtube.com/watch?v=2v2ypedGkXY",Brian Tyler Cohen,,GLOVES OFF: Pete Buttigieg SMACKS DOWN Vance over military record attacks - YouTube,https://www.youtube.com/watch?v=2v2ypedGkXY,8,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Thomas Seeger,Malia,Owen Fick,Pete Buttigieg,H,11/4/24 9AM On the Eve of Change: Don Cheadle & Pete Buttigieg Talk Election Day,"With Election Day just hours away, Sherwin welcomes two special guests—actor and activist Don Cheadle, and Secretary of Transportation Pete Buttigieg—for a powerful discussion about what’s at stake. Together, they explore the significance of this election, voter engagement, and the issues motivating Americans to the polls. Tune in for a thought-provoking conversation that touches on the hopes and challenges facing the nation and why every vote counts in shaping the country’s future.",The Truth with Sherwin Hughes,,https://www.youtube.com/live/2LgtjCwp-0w,#REF!,10,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Thomas Seeger,Rosie,Connor Swenson,Kamala Harris,H,Kamala Harris,"In the latest episode of Club Shay Shay, Shannon Sharpe welcomes none other than Vice President Kamala Harris for an inspiring conversation filled with historic moments, personal reflections, and big dreams for the future. Vice President Harris opens up about her journey of groundbreaking ""firsts,"" from becoming the first woman, Black, and Asian American U.S. Vice President to being the first female Attorney General of California. She shares memorable stories, including receiving the monumental call from President Biden that changed the trajectory of her career. The two dive into the realities of her day-to-day life, intense schedule, and dedication to staying connected with communities across the country. She also reminisces about her love of music, recounting a bucket list moment when Stevie Wonder sang her happy birthday. With only days left until Election Day, she reflects on the gravity of her role, her vision for the country, and the importance of mobilizing voters. This episode showcases Vice President Harris’s resilience, humor, and commitment to making a lasting impact for future generations. Key issues and policy considerations affecting communities across the country are at the forefront of the conversation. They discuss essential topics, including workers' rights, corporate practices, and historical injustices that have disadvantaged Black communities. From Donald Trump's discriminatory landlord practices, his involvement in the Central Park Five case, and his racially charged birtherism against President Obama, they shift to contemporary issues facing marginalized communities. Vice President Harris speaks candidly about economic disparities, noting her focus on combating inflation, housing, and price gouging while supporting affordable housing and small business initiatives. She emphasizes the need for policies that protect Social Security, ensure accessible healthcare, and address health disparities affecting Black men, particularly in colon and prostate cancer screenings. With Election Day approaching, she stresses the significance of the upcoming choice, advocating for leaders dedicated to working and middle-class families over self-serving interests. Important topics like immigration reform come into focus as the conversation unfolds. Vice President Harris advocates for a secure yet humane immigration system, emphasizing the need for a comprehensive approach that allows individuals to earn their citizenship while effectively addressing border security. This perspective stands in stark contrast to the often divisive rhetoric seen during Trump’s presidency. As the episode progresses, VP Harris critiques current political figures and highlights the urgent need for a new generation of leaders committed to real change, calling out the failures of the past. Don't miss this insightful episode as Vice President Kamala Harris shares her vision for a more inclusive future for America on Club Shay Shay!",Club Shay Shay,,"Kamala Harris' Advice To 18-Year-Old Self, Talks Student Loans, Stimulus Checks, HBCU & Donald Trump - YouTube",https://www.youtube.com/watch?v=Vu5yD3fu6A8,64,,FALSE,FALSE,FALSE
Nik,Michael,Connor Swenson,Tulsi Gabbard,T,"Rescue the Republic with Russell Brand, Tulsi Gabbard, Zachary Levi","Dave Rubin of “The Rubin Report” is backstage at Washington D.C.'s ""Rescue the Republic Rally” with Russell Brand, Tulsi Gabbard, Zachary Levi, and Ron Johnson to talk about the recent big-tent movement to bring together independent voters, Trump supporters, and disenfranchised Democrats.",The Rubin Report,,"Rescue the Republic with Russell Brand, Tulsi Gabbard, Zachary Levi - YouTube",https://www.youtube.com/watch?v=qAGD5pMU_CE,5,Informal Interview from 5:00-10:35,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nik,Michael,Amber,Vivek Ramaswamy,T,The Future of America with Vivek Ramaswamy,"I am thrilled to announce that I am joined by Vivek Ramaswamy, former GOP Presidential candidate and my good friend. Vivek’s new book, “Truth’s: The Future of America First”, dissects exactly what the conservative movement stands for, and how conservatives can further grow the Republican Party by gracefully articulating exactly what the party stands for, and championing authentic conversation and debate with the left. Listen as we dive into topics such as climate change, racism, and religion. 
Buy “Truth’s: The Future of America First” here: https://www.amazon.com/Truths-Future-America-Vivek-Ramaswamy/dp/1668078430",Big Ideas Book Club with Steve Hilton,,Vivek Ramaswamy Plans to Take America to the Next Level with Steve Hilton 4.30.23,https://youtu.be/1usZrJo2-UI?feature=shared,4,THIS IS A TRADITIONAL NEWS BROADCAST AND SHOULD BE REMOVED,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,,
Thomas Seeger,Rosie,Thomas Leonard,Liz Cheney,H,"Former Congresswoman Liz Cheney in Erie - Oct. 17, 2024","Prior to her appearance at the Jefferson Educational Society's Global Summit, former Congresswoman Liz Cheney of Wyoming joined Joel for an exclusive interview. We discussed her opposition to former President Trump, the January 6th committee she co-chaired, and this moment in our political discourse.",TalkErie.com - The Joel Natalie Show - Erie Pennsylvania Daily Podcast,,"Former Congresswoman Liz Cheney in Erie - Oct. 17, 2024 - YouTube",https://www.youtube.com/watch?v=ZOyUsc-KCJU,24,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,FALSE
